Wavenumber,Intensity
1196.4754,0.250794
1198.3391,0.225898
1200.2028,0.203513
1202.0665,0.183666
1203.9301,0.166272
1205.7938,0.151515
1207.6575,0.139704
1209.5211,0.130990
1211.3848,0.125299
1213.2485,0.122641
1215.1121,0.123769
1216.9758,0.130136
1218.8395,0.142151
1220.7031,0.160044
1222.5668,0.183220
1224.4305,0.209890
1226.2941,0.237668
1228.1578,0.265019
1230.0215,0.289805
1231.8852,0.310959
1233.7488,0.327792
1235.6125,0.340815
1237.4762,0.352147
1239.3398,0.364259
1241.2035,0.378703
1243.0672,0.396286
1244.9308,0.416655
1246.7945,0.439153
1248.6582,0.461598
1250.5218,0.481797
1252.3855,0.496787
1254.2492,0.504175
1256.1129,0.503458
1257.9765,0.497917
1259.8402,0.492312
1261.7039,0.492283
1263.5675,0.500443
1265.4312,0.516771
1267.2949,0.539366
1269.1585,0.567247
1271.0222,0.598043
1272.8859,0.630534
1274.7495,0.663980
1276.6132,0.697609
1278.4769,0.728313
1280.3405,0.754660
1282.2042,0.776404
1284.0679,0.796103
1285.9316,0.817116
1287.7952,0.841316
1289.6589,0.865730
1291.5226,0.891045
1293.3862,0.915497
1295.2499,0.938530
1297.1136,0.958366
1298.9772,0.974596
1300.8409,0.987372
1302.7046,0.999293
1304.5682,1.010527
1306.4319,1.020255
1308.2956,1.021273
1310.1592,1.009354
1312.0229,0.977904
1313.8866,0.926294
1315.7503,0.860897
1317.6139,0.787679
1319.4776,0.709247
1321.3413,0.632773
1323.2049,0.561498
1325.0686,0.497921
1326.9323,0.443452
1328.7959,0.398044
1330.6596,0.360908
1332.5233,0.332741
1334.3869,0.313571
1336.2506,0.301392
1338.1143,0.289175
1339.9780,0.269092
1341.8416,0.242212
1343.7053,0.215828
1345.5690,0.190384
1347.4326,0.167690
1349.2963,0.148332
1351.1600,0.132734
1353.0236,0.121291
1354.8873,0.113241
1356.7510,0.109644
1358.6146,0.113737
1360.4783,0.126874
1362.3420,0.146562
1364.2056,0.166561
1366.0693,0.192091
1367.9330,0.227612
1369.7967,0.268992
1371.6603,0.311552
1373.5240,0.350376
1375.3877,0.372041
1377.2513,0.375220
1379.1150,0.364119
1380.9787,0.341582
1382.8423,0.314585
1384.7060,0.286989
1386.5697,0.256684
1388.4333,0.223485
1390.2970,0.198951
1392.1607,0.182251
1394.0244,0.168659
1395.8880,0.154732
1397.7517,0.146007
1399.6154,0.139091
1401.4790,0.133476
1403.3427,0.135117
1405.2064,0.139601
1407.0700,0.143626
1408.9337,0.137869
1410.7974,0.111523
1412.6610,0.070517
1414.5247,0.036251
1416.3884,0.015952
1418.2520,0.003887
1420.1157,-0.009680
1421.9794,-0.015431
1423.8431,-0.013572
1425.7067,-0.012046
1427.5704,-0.006665
1429.4341,0.001140
1431.2977,0.011667
1433.1614,0.028966
1435.0251,0.051803
1436.8887,0.064901
1438.7524,0.060738
1440.6161,0.058719
1442.4797,0.061072
1444.3434,0.070023
1446.2071,0.082406
1448.0707,0.092950
1449.9344,0.099766
1451.7981,0.112782
1453.6618,0.134452
1455.5254,0.167363
1457.3891,0.191505
1459.2528,0.194569
1461.1164,0.202141
1462.9801,0.218363
1464.8438,0.231853
1466.7074,0.235643
1468.5711,0.242186
1470.4348,0.254992
1472.2984,0.266106
1474.1621,0.258092
1476.0258,0.238543
1477.8895,0.210623
1479.7531,0.181173
1481.6168,0.152222
1483.4805,0.130165
1485.3441,0.118654
1487.2078,0.109326
1489.0715,0.091550
1490.9351,0.065099
1492.7988,0.044192
1494.6625,0.033488
1496.5261,0.021869
1498.3898,0.010319
1500.2535,0.006976
1502.1171,0.018385
1503.9808,0.046818
1505.8445,0.081797
1507.7082,0.082454
1509.5718,0.059843
1511.4355,0.036651
1513.2992,0.010355
1515.1628,-0.012980
1517.0265,-0.033456
1518.8902,-0.046245
1520.7538,-0.048013
1522.6175,-0.052657
1524.4812,-0.051311
1526.3448,-0.044789
1528.2085,-0.034036
1530.0722,-0.018230
1531.9359,0.004544
1533.7995,0.032760
1535.6632,0.056218
1537.5269,0.089276
1539.3905,0.138413
1541.2542,0.169401
1543.1179,0.172659
1544.9815,0.174421
1546.8452,0.176116
1548.7089,0.179439
1550.5725,0.178988
1552.4362,0.177639
1554.2999,0.179636
1556.1635,0.183947
1558.0272,0.178500
1559.8909,0.135336
1561.7546,0.099623
1563.6182,0.076611
1565.4819,0.054208
1567.3456,0.036798
1569.2092,0.020314
1571.0729,0.003752
1572.9366,-0.000345
1574.8002,0.003811
1576.6639,0.002240
1578.5276,-0.008210
1580.3912,-0.019647
1582.2549,-0.035260
1584.1186,-0.052172
1585.9822,-0.068801
1587.8459,-0.083622
1589.7096,-0.096157
1591.5733,-0.105889
1593.4369,-0.111975
1595.3006,-0.114714
1597.1643,-0.115239
1599.0279,-0.113952
1600.8916,-0.111632
1602.7553,-0.109014
1604.6189,-0.105945
1606.4826,-0.103444
1608.3463,-0.105161
1610.2099,-0.112609
1612.0736,-0.120286
1613.9373,-0.125255
1615.8010,-0.128336
1617.6646,-0.137197
1619.5283,-0.142270
1621.3920,-0.139963
1623.2556,-0.134912
1625.1193,-0.133771
1626.9830,-0.132598
1628.8466,-0.131691
1630.7103,-0.127151
1632.5740,-0.116025
1634.4376,-0.098062
1636.3013,-0.089930
1638.1650,-0.096062
1640.0286,-0.098786
1641.8923,-0.094523
1643.7560,-0.082732
1645.6197,-0.067585
1647.4833,-0.056281
1649.3470,-0.048608
1651.2107,-0.029213
1653.0743,-0.001736
1654.9380,-0.006010
1656.8017,-0.013422
1658.6653,-0.007222
1660.5290,0.008913
1662.3927,0.029899
1664.2563,0.048623
1666.1200,0.068790
1667.9837,0.101876
1669.8474,0.144451
1671.7110,0.178368
1673.5747,0.211824
1675.4384,0.256561
1677.3020,0.291902
1679.1657,0.321278
1681.0294,0.356680
1682.8930,0.393703
1684.7567,0.411903
1686.6204,0.398961
1688.4840,0.383286
1690.3477,0.371602
1692.2114,0.365612
1694.0750,0.368623
1695.9387,0.388525
1697.8024,0.411562
1699.6661,0.451161
1701.5297,0.493328
1703.3934,0.520753
1705.2571,0.553930
1707.1207,0.577609
1708.9844,0.571624
1710.8481,0.548353
1712.7117,0.520044
1714.5754,0.493122
1716.4391,0.465746
1718.3027,0.438646
1720.1664,0.418760
1722.0301,0.415254
1723.8937,0.423432
1725.7574,0.441109
1727.6211,0.467283
1729.4848,0.506602
1731.3484,0.552795
1733.2121,0.596839
1735.0758,0.614564
1736.9394,0.595969
1738.8031,0.542096
1740.6668,0.450275
1742.5304,0.350491
1744.3941,0.252188
1746.2578,0.167063
1748.1214,0.096142
1749.9851,0.037791
1751.8488,-0.008200
1753.7125,-0.039052
1755.5761,-0.055678
1757.4398,-0.067375
1759.3035,-0.074646
1761.1671,-0.078964
1763.0308,-0.082716
1764.8945,-0.083393
1766.7581,-0.078025
1768.6218,-0.069432
1770.4855,-0.061595
1772.3491,-0.055008
1774.2128,-0.056347
1776.0765,-0.058227
1777.9401,-0.056661
1779.8038,-0.050367
1781.6675,-0.045499
1783.5312,-0.041569
1785.3948,-0.038741
1787.2585,-0.034029
1789.1222,-0.025606
1790.9858,-0.013984
1792.8495,-0.005578
1794.7132,-0.003701
1796.5768,-0.001180
1798.4405,0.005256
1800.3042,0.013427
1802.1678,0.019200
1804.0315,0.022006
1805.8952,0.025927
1807.7589,0.032688
1809.6225,0.040760
1811.4862,0.047470
1813.3499,0.051303
1815.2135,0.055495
1817.0772,0.061235
1818.9409,0.066336
1820.8045,0.071973
1822.6682,0.079267
1824.5319,0.088988
1826.3955,0.096390
1828.2592,0.102333
1830.1229,0.108996
1831.9865,0.111438
1833.8502,0.112837
1835.7139,0.116953
1837.5776,0.123048
1839.4412,0.128478
1841.3049,0.135712
1843.1686,0.146998
1845.0322,0.156327
1846.8959,0.158071
1848.7596,0.158931
1850.6232,0.161706
1852.4869,0.166469
1854.3506,0.171286
1856.2142,0.176609
1858.0779,0.181674
1859.9416,0.186983
1861.8052,0.191095
1863.6689,0.196189
1865.5326,0.202837
1867.3963,0.212954
1869.2599,0.221020
1871.1236,0.221737
1872.9873,0.221275
1874.8509,0.224104
1876.7146,0.228284
1878.5783,0.232789
1880.4419,0.237097
1882.3056,0.241286
1884.1693,0.245346
1886.0329,0.249357
1887.8966,0.253920
1889.7603,0.259614
1891.6240,0.262123
1893.4876,0.263828
1895.3513,0.267212
1897.2150,0.270169
1899.0786,0.271702
1900.9423,0.274164
1902.8060,0.277027
1904.6696,0.279927
1906.5333,0.282564
1908.3970,0.285894
1910.2606,0.288335
1912.1243,0.289614
1913.9880,0.290911
1915.8516,0.293772
1917.7153,0.298256
1919.5790,0.300144
1921.4427,0.300960
1923.3063,0.303044
1925.1700,0.303101
1927.0337,0.302145
1928.8973,0.302677
1930.7610,0.304048
1932.6247,0.304916
1934.4883,0.305972
1936.3520,0.306605
1938.2157,0.307038
1940.0793,0.307777
1941.9430,0.310244
1943.8067,0.310562
1945.6704,0.308885
1947.5340,0.307086
1949.3977,0.306192
1951.2614,0.304843
1953.1250,0.303361
1954.9887,0.302116
1956.8524,0.300842
1958.7160,0.299058
1960.5797,0.297414
1962.4434,0.295732
1964.3070,0.294146
1966.1707,0.293007
1968.0344,0.291593
1969.8980,0.289083
1971.7617,0.286327
1973.6254,0.283725
1975.4891,0.281702
1977.3527,0.279568
1979.2164,0.277331
1981.0801,0.275042
1982.9437,0.273194
1984.8074,0.271005
1986.6711,0.269073
1988.5347,0.267058
1990.3984,0.264872
1992.2621,0.261938
1994.1257,0.258337
1995.9894,0.254751
1997.8531,0.251819
1999.7167,0.249225
2001.5804,0.246278
2003.4441,0.243340
2005.3078,0.240683
2007.1714,0.237550
2009.0351,0.234370
2010.8988,0.231624
2012.7624,0.228861
2014.6261,0.226126
2016.4898,0.223935
2018.3534,0.220946
2020.2171,0.217208
2022.0808,0.213757
2023.9444,0.210601
2025.8081,0.207485
2027.6718,0.204717
2029.5355,0.201764
2031.3991,0.198800
2033.2628,0.195868
2035.1265,0.193108
2036.9901,0.190314
2038.8538,0.187490
2040.7175,0.184696
2042.5811,0.181704
2044.4448,0.178503
2046.3085,0.175603
2048.1721,0.172642
2050.0358,0.169775
2051.8995,0.167163
2053.7631,0.164536
2055.6268,0.161600
2057.4905,0.158969
2059.3542,0.156719
2061.2178,0.154374
2063.0815,0.151837
2064.9452,0.149311
2066.8088,0.146276
2068.6725,0.143382
2070.5362,0.140928
2072.3998,0.138682
2074.2635,0.136086
2076.1272,0.133501
2077.9908,0.131006
2079.8545,0.128443
2081.7182,0.125805
2083.5819,0.123535
2085.4455,0.121332
2087.3092,0.118795
2089.1729,0.116081
2091.0365,0.113659
2092.9002,0.111286
2094.7639,0.108959
2096.6275,0.106706
2098.4912,0.104451
2100.3549,0.102113
2102.2185,0.099949
2104.0822,0.097653
2105.9459,0.095441
2107.8095,0.093291
2109.6732,0.091113
2111.5369,0.088872
2113.4006,0.086860
2115.2642,0.084742
2117.1279,0.082645
2118.9916,0.080615
2120.8552,0.078722
2122.7189,0.076874
2124.5826,0.075029
2126.4462,0.073185
2128.3099,0.071374
2130.1736,0.069422
2132.0372,0.067589
2133.9009,0.065906
2135.7646,0.064185
2137.6282,0.062382
2139.4919,0.060814
2141.3556,0.059123
2143.2193,0.057384
2145.0829,0.055857
2146.9466,0.054396
2148.8103,0.052728
2150.6739,0.051051
2152.5376,0.049480
2154.4013,0.048182
2156.2649,0.046900
2158.1286,0.045506
2159.9923,0.044042
2161.8559,0.042725
2163.7196,0.041428
2165.5833,0.040028
2167.4470,0.038683
2169.3106,0.037602
2171.1743,0.036462
2173.0380,0.035375
2174.9016,0.034486
2176.7653,0.033615
2178.6290,0.032417
2180.4926,0.031385
2182.3563,0.030581
2184.2200,0.029839
2186.0836,0.028952
2187.9473,0.028225
2189.8110,0.027556
2191.6746,0.026828
2193.5383,0.026030
2195.4020,0.025386
2197.2657,0.024910
2199.1293,0.024499
2200.9930,0.024000
2202.8567,0.023635
2204.7203,0.023231
2206.5840,0.022774
2208.4477,0.022305
2210.3113,0.021969
2212.1750,0.021766
2214.0387,0.021597
2215.9023,0.021331
2217.7660,0.021176
2219.6297,0.021076
2221.4934,0.021109
2223.3570,0.020922
2225.2207,0.020855
2227.0844,0.021001
2228.9480,0.021102
2230.8117,0.021243
2232.6754,0.021615
2234.5390,0.021966
2236.4027,0.022221
2238.2664,0.022395
2240.1300,0.022963
2241.9937,0.023790
2243.8574,0.024584
2245.7210,0.025525
2247.5847,0.026813
2249.4484,0.028174
2251.3121,0.029466
2253.1757,0.030831
2255.0394,0.032298
2256.9031,0.033445
2258.7667,0.034574
2260.6304,0.035841
2262.4941,0.036970
2264.3577,0.038012
2266.2214,0.039178
2268.0851,0.040039
2269.9487,0.040664
2271.8124,0.041309
2273.6761,0.041911
2275.5397,0.042182
2277.4034,0.042383
2279.2671,0.042433
2281.1308,0.042300
2282.9944,0.042113
2284.8581,0.041545
2286.7218,0.040596
2288.5854,0.039927
2290.4491,0.039276
2292.3128,0.038691
